tau = 4min

Point Number 	 Temperature 
 495 	 42.361401 
 496 	 41.969055 
 497 	 41.969055 
 498 	 41.986114 
 499 	 42.241992 
 500 	 41.969055 
 501 	 42.276109 
 502 	 42.241992 
 503 	 41.917879 
 504 	 42.259050 
 505 	 42.224933 
 506 	 41.900821 
 507 	 41.900821 
 508 	 41.900821 
 509 	 41.883762 
 510 	 41.866704 
 511 	 42.139640 
 512 	 42.173757 
 513 	 42.276109 
 514 	 42.241992 
 515 	 42.241992 
 516 	 42.156699 
 517 	 42.190816 
 518 	 41.849645 
 519 	 41.815528 
 520 	 41.849645 
 521 	 41.832587 
 522 	 41.832587 
 523 	 42.173757 
 524 	 42.224933 
 525 	 42.173757 
 526 	 42.173757 
 527 	 41.781411 
 528 	 41.781411 
 529 	 42.156699 
 530 	 42.139640 
 531 	 42.088465 
 532 	 42.276109 
 533 	 41.764353 
 534 	 42.139640 
 535 	 41.781411 
 536 	 41.730236 
 537 	 42.122582 
 538 	 42.139640 
 539 	 41.696118 
 540 	 41.713177 
 541 	 41.713177 
 542 	 41.713177 
 543 	 42.122582 
 544 	 42.088465 
 545 	 41.730236 
 546 	 42.139640 
 547 	 41.696118 
 548 	 41.696118 
 549 	 42.088465 
 550 	 42.003172 
 551 	 41.696118 
 552 	 41.662001 
 553 	 41.679060 
 554 	 41.679060 
 555 	 41.696118 
 556 	 41.679060 
 557 	 42.003172 
 558 	 41.679060 
 559 	 41.662001 
 560 	 41.679060 
 561 	 42.003172 
 562 	 42.020231 
 563 	 41.662001 
 564 	 42.054348 
 565 	 41.696118 
 566 	 41.679060 
 567 	 41.679060 
 568 	 41.644943 
 569 	 41.986114 
 570 	 41.644943 
 571 	 41.662001 
 572 	 41.644943 
 573 	 42.037289 
 574 	 42.037289 
 575 	 41.662001 
 576 	 42.037289 
 577 	 41.627884 
 578 	 41.644943 
 579 	 41.644943 
 580 	 42.020231 
 581 	 42.037289 
 582 	 42.020231 
 583 	 41.627884 
 584 	 41.610826 
 585 	 41.610826 
 586 	 42.173757 
 587 	 41.627884 
 588 	 41.610826 
 589 	 41.969055 
 590 	 41.610826 
 591 	 41.934938 
 592 	 41.644943 
 593 	 41.986114 
 594 	 41.986114 
 595 	 41.627884 
 596 	 41.593767 
 597 	 41.986114 
 598 	 41.593767 
 599 	 41.610826 
 600 	 41.610826 
 601 	 41.644943 
 602 	 41.627884 
 603 	 42.054348 
 604 	 41.917879 
 605 	 42.003172 
 606 	 41.969055 
 607 	 42.037289 
 608 	 41.969055 
 609 	 41.627884 
 610 	 42.156699 
 611 	 41.627884 
 612 	 42.037289 
 613 	 41.969055 
 614 	 41.627884 
 615 	 41.644943 
 616 	 41.627884 
 617 	 41.644943 
 618 	 41.644943 
 619 	 41.627884 
 620 	 41.662001 
 621 	 41.662001 
 622 	 41.644943 
 623 	 42.020231 
 624 	 41.644943 
 625 	 41.662001 
 626 	 42.054348 
 627 	 41.679060 
 628 	 41.644943 
 629 	 41.662001 
 630 	 41.679060 
 631 	 41.679060 
 632 	 41.662001 
 633 	 42.037289 
 634 	 41.679060 
 635 	 41.662001 
 636 	 41.662001 
 637 	 41.986114 
 638 	 41.696118 
 639 	 42.088465 
 640 	 42.020231 
 641 	 42.020231 
 642 	 41.713177 
 643 	 41.713177 
 644 	 42.122582 
 645 	 41.696118 
 646 	 42.105523 
 647 	 41.696118 
 648 	 41.713177 
 649 	 41.747294 
 650 	 42.139640 
 651 	 42.122582 
 652 	 41.730236 
 653 	 42.020231 
 654 	 41.730236 
 655 	 41.747294 
 656 	 42.071406 
 657 	 41.730236 
 658 	 42.139640 
 659 	 41.781411 
 660 	 42.105523 
 661 	 42.122582 
 662 	 42.122582 
 663 	 42.173757 
 664 	 42.122582 
 665 	 41.832587 
 666 	 42.293167 
 667 	 42.224933 
 668 	 41.832587 
 669 	 41.832587 
 670 	 42.190816 
 671 	 42.259050 
 672 	 42.190816 
 673 	 41.849645 
 674 	 42.241992 
 675 	 41.849645 
 676 	 41.849645 
 677 	 41.883762 
 678 	 42.395518 
 679 	 41.883762 
 680 	 41.866704 
 681 	 41.900821 
 682 	 41.900821 
 683 	 41.900821 
 684 	 41.900821 
 685 	 41.969055 
 686 	 41.917879 
 687 	 41.951996 
 688 	 42.207874 
 689 	 41.951996 
 690 	 42.327284 
 691 	 42.327284 
 692 	 42.293167 
 693 	 42.327284 
 694 	 42.361401 
 695 	 42.395518 
 696 	 42.327284 
 697 	 42.412577 
 698 	 42.395518 
 699 	 42.003172 
 700 	 42.003172 
 701 	 42.105523 
 702 	 42.361401 
 703 	 42.037289 
 704 	 42.395518 
 705 	 42.088465 
 706 	 42.173757 
 707 	 42.054348 
 708 	 42.088465 
 709 	 42.071406 
 710 	 42.088465 
 711 	 42.088465 
 712 	 42.105523 
 713 	 42.122582 
 714 	 42.139640 
 715 	 42.122582 
 716 	 42.122582 
 717 	 42.139640 
 718 	 42.105523 
 719 	 42.549045 
 720 	 42.566104 
 721 	 42.514928 
 722 	 42.259050 
